Country,Year,General government revenue | Percent of GDP,General government total expenditure | National currency | Billions,Gross national savings | Percent of GDP,Total investment | Percent of GDP,Unemployment rate | Percent of total labor force,"Gross domestic product per capita, current prices | U.S. dollars | Units"
Albania,2000,26.066,169.596,23.768,30.796,16.8,1127.64
Albania,2001,25.848,184.163,28.703,34.989,16.44,1283.57
Albania,2002,25.323,192.517,25.056,35.264,15.751,1425.13
Albania,2003,24.674,201.152,26.156,33.897,15.0,1846.12
Albania,2004,24.992,222.439,28.359,34.197,14.4,2373.58
Albania,2005,25.434,232.339,27.784,36.87,14.1,2673.77
Albania,2006,25.928,254.762,29.59,35.698,13.8,2972.75
Albania,2007,26.13,282.987,23.837,34.462,13.4,3595.05
Albania,2008,26.842,342.86,17.569,33.374,13.1,4370.56
Albania,2009,26.093,373.832,16.654,32.641,13.8,4114.09
Albania,2010,25.867,364.29,20.023,31.318,14.0,4097.83
Albania,2011,25.407,376.183,20.254,33.462,14.0,4439.89
Albania,2012,24.789,376.241,19.674,29.824,13.4,4248.91
Albania,2013,23.978,394.117,16.827,27.491,15.9,4415.6
Albania,2014,26.272,442.718,13.361,27.288,17.5,4584.92
Albania,2015,26.44,441.161,15.804,26.237,17.1,3953.61
Albania,2016,28.419,429.073,16.796,25.47,15.2,4124.41
Albania,2017,27.756,451.989,17.085,24.671,13.7,4525.89
Albania,2018,27.474,471.407,17.129,24.34,12.3,5254.46
Albania,2019,27.414,493.241,14.879,22.79,11.47,5305.07
Belgium,2000,49.319,126.646,26.203,23.783,6.858,23136.51
Belgium,2001,49.612,130.527,24.126,22.634,6.567,23067.16
Belgium,2002,49.86,136.364,25.249,20.748,7.525,25044.33
Belgium,2003,49.183,143.545,24.362,20.964,8.175,30707.67
Belgium,2004,49.08,146.388,25.765,22.667,8.383,35497.55
Belgium,2005,49.147,160.792,25.676,23.681,8.475,36945.5
Belgium,2006,49.029,158.639,25.821,23.97,8.267,38841.79
Belgium,2007,48.629,166.871,26.099,24.603,7.492,44496.79
Belgium,2008,49.68,178.599,24.931,25.937,6.967,48493.14
Belgium,2009,49.25,189.454,23.831,22.173,7.908,44892.23
Belgium,2010,49.791,195.654,24.751,23.127,8.317,44448.17
Belgium,2011,50.974,207.927,22.568,24.507,7.15,47564.38
